id name
10 lymph
23 cmc
31 credit-g
43 haberman
48 tae
62 zoo
149 CovPokElec
151 electricity
155 pokerhand
180 covertype
183 abalone
248 BNG(autos)
253 BNG(bridges_version1)
257 BNG(colic)
258 BNG(credit-a)
262 BNG(cylinder-bands)
263 BNG(dermatology)
266 BNG(heart-c)
269 BNG(hepatitis)
285 flags
312 scene
313 spectrometer
316 yeast_ml8
338 grub-damage
343 white-clover
346 aids
446 prnn_crabs
450 analcatdata_lawsuit
459 analcatdata_asbestos
461 analcatdata_creditscore
463 backache
465 analcatdata_cyyoung8092
475 analcatdata_germangss
477 fl2000
479 analcatdata_cyyoung9302
480 prnn_viruses
682 sleuth_ex2016
685 visualizing_livestock
1044 eye_movements
1047 usp05
1055 cm1_req
1100 PopularKids
1113 KDDCup99
1115 teachingAssistant
1116 musk
1121 badges2
1167 pc1_req
1169 airlines
1182 BNG(adult)
1186 BNG(eucalyptus)
1235 Agrawal1
1360 BNG(anneal.ORIG,1000,1)
1412 lungcancer_GSE31210
1455 acute-inflammations
1472 energy-efficiency
1480 ilpd
1481 kr-vs-k
1483 ldpa
1486 nomao
1498 sa-heart
1506 thoracic-surgery
1511 wholesale-customers
1548 autoUniv-au4-2500
1549 autoUniv-au6-750
1552 autoUniv-au7-1100
1555 autoUniv-au6-1000
40478 thyroid-dis
40663 calendarDOW
40672 fars
40700 cars1
40701 churn
40705 tokyo1
40708 allrep
40709 analcatdata_happiness
40710 cleve
40713 dis
40997 jungle_chess_2pcs_endgame_panther_lion
40999 jungle_chess_2pcs_endgame_elephant_elephant
41005 jungle_chess_2pcs_endgame_rat_rat
41142 christine
41143 jasmine
41701 CPMP-2015-classification
41703 MIP-2016-classification
42680 RelevantImagesDatasetTEST
43255 1StudentPerfromance
43892 national-longitudinal-survey-binary
44448 rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44453 road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44458 compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44463 KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44483 Australian_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44651 Internet-Advertisements_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True
44763 Click_prediction_small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
44773 sf-police-incidents_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True
